path,bytes,sha256
README.md,1150,588112e4502d636967cdd5eef38f5b7839e0fe3709addd1a93257cc0217f8d6e
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/jobs/sfm_dataset1_sfm_1024_aliked_global/resource_samples.csv,16759,98e8136f8be4f8e1c5cc0830eaacd91e87978d472f5ddac57309afdb4e058558
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/manifest.csv,1619,9595c94f1cff330a84e1f9aa52810cdea5db8282a3ff6e7937bcacf4f3eda59c
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/metrics_long.csv,6719,1db409f42e437a37c461923d62ddaea03ad807f478d34d04d0b1744ac8d0983d
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/results_final.csv,129,6cf300cc3eaa1536de18eb4bdbeb47d3308e50e0dd2e0f8c8cbbee795a57b170
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/results_sfm.csv,1129,7e22aceca9b004c5f340691dcd1356ef770186c0fa43a2ad5550282983ec4f67
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/results_splat.csv,1680,207713c53a0b9a2db47f14e8ca8ecf3d82e40c8f214cb45adc338472484c954e
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p000/attempt_1/lfs_eval_config.json,1356,cb2203da5d26ff25c0d3c42eadd03120278f181cccef913e88874a417c2f1132
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p000/attempt_1/loss_history.csv,8198,a3d127964a85df03a007873890b482b9dde66ed9cf67a1f3617ac9fd83a127e6
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p000/attempt_1/metrics.csv,417,f881c0fdb54a2bc1efd577d147223f5d7e2e2cf087d10458c84c0cd79f6564c3
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p000/attempt_1/python_metrics.json,456,9a45dadc24a888f0b1efa7550feece886f1c6e8a063476ddb800765a32eb1fd0
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p000/attempt_1/resource_samples.csv,16927,e3fc406a7928cc1439bc7165aa97c41760ed4dea74954d0ddb7c7406368bcecb
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p000/attempt_1/training_status.json,2122,b6552ae9e72968ce1414b5aae65987356a94302c07b8e1d24913c0917ff3a083
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p001/attempt_1/lfs_eval_config.json,1356,cb2203da5d26ff25c0d3c42eadd03120278f181cccef913e88874a417c2f1132
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p001/attempt_1/loss_history.csv,8215,f3a7b2c5cf7e39c49eabc75cfcd4ca3a39eccf9d13a0a0322376b8caa6a3075d
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p001/attempt_1/metrics.csv,417,8a1cae29786487daba0efc569fb7b696efbe425a37c63748c7518ebbefe83085
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p001/attempt_1/python_metrics.json,456,9a45dadc24a888f0b1efa7550feece886f1c6e8a063476ddb800765a32eb1fd0
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p001/attempt_1/resource_samples.csv,16694,5a121bf4b26920be451b529bd494e22fc2904d9378318c9b300a274f0a0e7a2d
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p001/attempt_1/training_status.json,2123,259004db2bff3d0810f4d9cc0508646ed3714722998fb3b9307c85a2951116df
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p002/attempt_1/lfs_eval_config.json,1356,cb2203da5d26ff25c0d3c42eadd03120278f181cccef913e88874a417c2f1132
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p002/attempt_1/loss_history.csv,8218,cd961bcb9795315b410f655dedbadfdbb31753433c853377567487dd427d0f92
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p002/attempt_1/metrics.csv,417,5fef22eec43a5dececb1c08587ff68dde5019b6d540dca213afb9b66d9a54b3c
runs/sfm_dataset1_sfm_1024_aliked_global_fullres_eval/ablation_eval/splat_eval/sfm_dataset1_sfm_1024_aliked_global/p002/attempt_1/python_metrics.json,456,9a45dadc24a888f0b1efa7550feece886f1c6e8a063476ddb800765a32eb1fd0
